,ROOM,FLOR,AREA,TYPE,EVAL,PRIC,OLD,SUBC,SUBD,CEDT,DISC
39,2,2,57.54,2,1,72993,1982,3,702,7.393671701697428,1
40,3,2,114.43,0,1,74107,2004,1,870,13.47991457391261,1
41,2,2,71.62,0,1,48730,2011,1,839,10.95162892291828,1
42,2,0,54.94,1,1,42774,1983,2,614,10.65051999291508,1
43,2,0,76.56,1,1,55513,2010,2,619,17.941512461648916,1
44,3,1,138.6,1,1,56278,2001,3,223,6.48963398602356,1
45,2,2,53.18,2,0,56225,1994,2,356,6.167340859946411,1
46,3,2,79.73,1,1,67729,1994,2,554,7.533331647037248,1
47,2,2,52.59,2,0,57236,1982,1,645,5.251901904811643,1
48,2,1,58.61,0,1,75073,1990,1,612,7.884185443283134,1
49,3,1,89.69,0,1,55748,2010,2,619,17.941512461648916,1
50,2,1,58.1,0,1,96214,1985,4,527,7.041072098523466,1
51,1,1,55.94,0,1,71148,2005,1,394,6.023414759074551,1
52,2,2,88.08,0,1,47571,2010,1,740,17.910601269040825,1
53,4,2,173.62,1,1,54718,2013,1,977,17.857761924555184,1
54,3,1,170.14,2,1,132245,2009,1,817,12.107866051189792,1
55,3,0,167.81,2,1,77171,2006,2,288,10.224375916234582,1
56,2,0,160.01,0,1,71246,2003,1,434,4.390027033943139,1
57,3,0,188.99,2,1,85190,2007,3,741,9.63396725140373,1
58,3,2,149.23,0,1,54279,2005,2,507,10.824084921743912,1
59,3,1,88.04,0,1,61336,1992,1,780,7.312206878588953,1
60,3,1,126.11,0,1,70574,1997,1,703,12.315460184737733,1
61,3,1,169.93,0,1,71089,2001,4,192,6.690588727319167,1
62,3,1,145.08,2,1,96361,2013,1,468,16.45811776965242,1
63,3,0,129.13,1,1,112290,2005,3,489,7.425225122565766,1
64,2,0,83.48,1,1,65286,2001,2,784,9.3067437509354,1
65,3,2,132.46,2,1,101918,2004,2,465,6.996490316442537,2
66,3,1,140.36,2,1,43389,2004,2,733,13.559781687909595,2
67,3,1,120.52,1,1,60986,2007,1,657,17.689470869371576,2
68,3,1,150.74,0,1,45775,2000,3,523,6.7260850881363385,2
69,3,2,141.32,2,1,69347,2004,3,526,10.554571958051794,2
70,1,1,67,2,1,59403,2002,1,742,16.1733089857346,2
71,2,0,92.64,1,1,48144,2005,1,796,14.072713683086372,2
72,2,1,66.03,2,0,53764,1998,1,651,15.68373479094725,2
73,2,0,57.31,2,0,68051,1992,1,510,9.555010430303707,2
74,2,1,62.66,0,1,82828,1988,1,933,7.976547017936953,2
75,4,0,219.87,2,1,167372,2011,1,651,8.961251208630406,2
76,3,1,130.5,1,1,114943,2005,2,737,5.281965514956449,2
77,3,1,122.78,1,0,47239,2003,2,779,10.54768807451225,2
78,2,2,86.14,0,1,65707,1999,2,468,9.512146745106012,2
79,4,1,226.15,2,1,170684,2011,1,320,8.640079491441318,2
80,4,2,249.75,0,1,52053,2007,1,519,10.379327863341626,2
81,2,1,160.66,0,1,72825,2002,4,424,6.612052639136404,2
82,3,1,132.93,2,0,82676,1999,2,518,10.748829895800291,2
83,2,2,104.48,0,1,74177,2002,1,938,11.932481800285574,2
84,2,1,59.95,2,0,55046,1988,3,339,10.369471764793653,2
85,3,1,140.56,2,1,91065,2006,1,304,5.956874524516093,2
86,2,1,44.74,1,0,48726,1987,1,999,15.146562487998109,2
87,1,2,55.05,2,1,85196,2005,2,851,9.58829324499805,2
88,2,0,98.44,2,1,71618,2004,1,468,17.200333157241023,2
89,1,1,42.84,0,1,62092,1987,1,789,7.051701843462477,2
90,2,1,78.77,1,1,53066,2005,1,972,16.22935462821068,2
91,3,1,83.56,0,1,48947,2000,1,578,17.030190675498712,2
92,2,1,65.8,2,0,56991,1993,2,674,9.342643905661678,2
